Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Marble Hill,40.87655077879964,-73.91065965862981,4b4429abf964a52037f225e3,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
Marble Hill,40.87655077879964,-73.91065965862981,4b79cc46f964a520c5122fe3,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
Marble Hill,40.87655077879964,-73.91065965862981,4b5357adf964a520319827e3,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
Marble Hill,40.87655077879964,-73.91065965862981,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
Marble Hill,40.87655077879964,-73.91065965862981,4b4f7b65f964a5205a0827e3,Subway Sandwiches,40.8746665302951,-73.9095858429637,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,4dfe40df8877333e195b68fc,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
Marble Hill,40.87655077879964,-73.91065965862981,585c205665e7c70a2f1055ea,Boston Market,40.87743,-73.9054121,American Restaurant
Marble Hill,40.87655077879964,-73.91065965862981,516eb327e4b08ec9757fbb0e,Rosarina Bakery (aka Franco Bakery),40.87487010452942,-73.90939769299527,Bakery
Marble Hill,40.87655077879964,-73.91065965862981,4e4ce4debd413c4cc66d05d0,SUBWAY,40.87849271667849,-73.90538547211088,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,4d0a529133d6b60cf4cf9985,Subway,40.877720351115315,-73.90537973066263,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,4f00ce265c5c51dd2f44809c,Hernandez Grocery,40.875896764511964,-73.91259085634037,Deli / Bodega
Marble Hill,40.87655077879964,-73.91065965862981,4ed7956b8b81b2bf28adc714,Terrace View Delicatessen,40.87647647652852,-73.91274586964578,Deli / Bodega
Marble Hill,40.87655077879964,-73.91065965862981,4cfa9cabd8468cfa960eef6b,Habib Deli,40.8749112481242,-73.90959964950369,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,4b5e451cf964a520f58629e3,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant
Marble Hill,40.87655077879964,-73.91065965862981,4e2dd219c65b80dfd830ddff,Subway Sandwiches,40.87826988,-73.9053082466104,Sandwich Place
Greenpoint,40.7302009848647,-73.95424093127393,4a916658f964a520151a20e3,Karczma,40.730101974807546,-73.95509198443229,Polish Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,5ae8ed8eb3c961002b3360da,Oxomoco,40.72998107593486,-73.95546049139082,Mexican Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,54d43863498e653d2ab8343f,Early,40.732069,-73.954721,Café
Greenpoint,40.7302009848647,-73.95424093127393,5a2b5dbdc0af5755f9b41a7a,Friducha,40.731512,-73.954281,Mexican Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,5bf358689fca56002c251a87,Citroën,40.731173193581775,-73.95452252962613,French Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,519bdb24abd81726b7a90ede,Fornino,40.72895139078759,-73.95386181678641,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,5b809669b9a5a8002c0c871b,Chiko,40.731871,-73.954369,Sushi Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4a9df1f7f964a520e03920e3,God Bless USA Deli,40.728267182331756,-73.95338411193785,Deli / Bodega
Greenpoint,40.7302009848647,-73.95424093127393,5285412911d2a3e51484ff56,The Brew Inn,40.731031,-73.954191,Gastropub
Greenpoint,40.7302009848647,-73.95424093127393,55d7c6bb498efa168c9483a9,Archestratus Books & Foods,40.732905,-73.955365,Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,53dd1ead498e9ef3f539fb4e,Jungle Cafe,40.730201,-73.954761,Vegetarian / Vegan Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4ff37cb9e4b0b8fda883be7f,Adelina's,40.730301301138475,-73.95335193287592,Italian Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,52e59d62498eabe67f97945e,Littleneck Outpost,40.729209,-73.957422,Sandwich Place
Greenpoint,40.7302009848647,-73.95424093127393,5ad7c4224febd54bc97c5c47,Pelicana Chicken,40.731452410096246,-73.95450966745076,Fried Chicken Joint
Greenpoint,40.7302009848647,-73.95424093127393,57040eae498ef7367c74b057,Paulie Gee's Slice Shop,40.728444159891396,-73.95734068765103,Pizza Place
