Borough,Neighborhood,Latitude,Longitude
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172
Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045
Brooklyn,Brooklyn Heights,40.695863722724084,-73.99378225496424
Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637
Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367
Brooklyn,Downtown,40.69084402109802,-73.98346337431099
Brooklyn,Boerum Hill,40.685682912091444,-73.98374824115798
Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195
Brooklyn,North Side,40.714822906532014,-73.95880857587582
Brooklyn,South Side,40.71086147265064,-73.95800095153331
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984
Manhattan,Chinatown,40.71561842231432,-73.99427936255978
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234
Manhattan,Inwood,40.86768396449915,-73.92121042203897
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905
Manhattan,East Harlem,40.79224946663033,-73.94418223148524
Manhattan,Upper East Side,40.775638573301805,-73.96050763135
Manhattan,Yorkville,40.775929849884875,-73.94711784471826
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262
Manhattan,Clinton,40.75910089146212,-73.99611936309479
Manhattan,Midtown,40.75469110270623,-73.98166882730304
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127
Manhattan,Chelsea,40.744034706747975,-74.00311633472813
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902
Manhattan,East Village,40.727846777270244,-73.98222616506416
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291
Manhattan,Tribeca,40.721521967443216,-74.01068328559087
Manhattan,Little Italy,40.71932379395907,-73.99730467208073
Manhattan,Soho,40.72218384131794,-74.00065666959759
Manhattan,West Village,40.73443393572434,-74.00617998126812
Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332
Manhattan,Gramercy,40.737209832715,-73.98137594833541
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617
Manhattan,Financial District,40.70710710727048,-74.0106654452127
Manhattan,Carnegie Hill,40.7826825671257,-73.95325646837112
Manhattan,Noho,40.72325901885768,-73.98843368023597
Manhattan,Civic Center,40.71522892046282,-74.00541529873355
Manhattan,Midtown South,40.7485096643122,-73.98871313285247
Manhattan,Sutton Place,40.76028033131374,-73.96355614094303
Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834
Manhattan,Tudor City,40.746917410740195,-73.97121928722265
Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203
Manhattan,Flatiron,40.739673047638426,-73.9909471052826
Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415
Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393
Brooklyn,Dumbo,40.70317632822692,-73.9887528074504
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637
