Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Id,Venue,Venue Latitude,Venue Longitude,Venue Category
Marble Hill,40.87655077879964,-73.91065965862981,52411ca98bbd75ed0f690c1f,Kingsbridge-Riverdale Farmers' Market,40.879394421342575,-73.90712512314228,Vegetarian / Vegan Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4b9709fcf964a520c4f434e3,Paulie Gee’s,40.729801246987186,-73.95852046352437,Pizza Place
Greenpoint,40.7302009848647,-73.95424093127393,53dd1ead498e9ef3f539fb4e,Jungle Cafe,40.730201,-73.954761,Vegetarian / Vegan Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,4ff37cb9e4b0b8fda883be7f,Adelina's,40.730301301138475,-73.95335193287592,Italian Restaurant
Greenpoint,40.7302009848647,-73.95424093127393,59c68c0c4382ab16da7cf734,Brooklyn Whiskers,40.733314122944364,-73.95479140606002,Bakery
Manhattan Terrace,40.61443251335098,-73.95743840559939,4ec1a58be3005ff92a8bd16e,No Meats,40.615224,-73.95495,Vegetarian / Vegan Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,5945566589e49070ed40d9c9,A8,40.658697,-73.982262,Vegetarian / Vegan Restaurant
Windsor Terrace,40.65694583575104,-73.98007340430172,599b9f51e57ca67eb7001c01,A8 Pan Asian,40.65848743893722,-73.98212671279907,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4ad8d0e5f964a520f11421e3,Natural Blend,40.67381852431168,-73.9629234409728,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,5adb72c24ac28a766976217e,American Vegan,40.678094,-73.968887,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4e4e4ccfbd4101d0d7a72beb,Jeune's Gourmet,40.677928,-73.968765,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,52295f2293cdff812f0d0350,Makini's Dream Natural Food Cafe,40.67813200917141,-73.96878004074097,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4dc43dcdd164eb9c9fd070e3,Raw Star,40.676897,-73.963486,Vegetarian / Vegan Restaurant
Prospect Heights,40.676822262254724,-73.9648592426269,4dbf36f26e810768bf9f54b5,Meatless May,40.67474004169175,-73.96921988153754,Vegetarian / Vegan Restaurant
Williamsburg,40.70714439344251,-73.95811529220927,581b6034ffb2191b8ca3fb09,Bar Velo Brooklyn,40.70709660165953,-73.9543318189448,Wine Bar
Williamsburg,40.70714439344251,-73.95811529220927,5b2ee4ee356b49002ce2cf60,Avant Garden,40.710435149387436,-73.95819301591459,Vegetarian / Vegan Restaurant
Williamsburg,40.70714439344251,-73.95811529220927,5c33e63d86f4cc002c827cbd,Fuel Juice Bar,40.708245,-73.958776,Vegetarian / Vegan Restaurant
Williamsburg,40.70714439344251,-73.95811529220927,4c463722cd5ca5935b2d0087,Windowfarms HQ,40.71030832591657,-73.96032336262405,Vegetarian / Vegan Restaurant
Bushwick,40.69811611017901,-73.92525797487045,5bb8eec1e0c0c900399d30c6,Hartbreakers,40.701693553703976,-73.92300040417325,Vegetarian / Vegan Restaurant
Bushwick,40.69811611017901,-73.92525797487045,5702a4d1498ec2255b795cfe,brooklyn whiskers,40.69558493158839,-73.92924436745504,Bakery
Bushwick,40.69811611017901,-73.92525797487045,5ac63c9a18d43b72307a7248,Sol Sips,40.699135,-73.92251,Vegetarian / Vegan Restaurant
Bushwick,40.69811611017901,-73.92525797487045,5d423c584f190b0008ab9074,Seitan’s Helper,40.700034,-73.929348,Sandwich Place
Bushwick,40.69811611017901,-73.92525797487045,51ad373d498e8f3a3d903ae8,Edible Insight HQ,40.699319,-73.926548,Vegetarian / Vegan Restaurant
Brooklyn Heights,40.695863722724084,-73.99378225496424,54fe14b5498e5e4468e65ad9,Juice Press,40.694618,-73.994489,Juice Bar
Carroll Gardens,40.680540231076485,-73.99465372828006,5afda093012358002cfdbd9b,Planted,40.68065032096497,-73.99469210812528,Coffee Shop
Carroll Gardens,40.680540231076485,-73.99465372828006,5b9c18516e488e00251edf43,Sans,40.68062175268702,-73.9944326877594,Vegetarian / Vegan Restaurant
Fort Greene,40.68852726018977,-73.97290574369092,583b8d56a6118c60b5cfdc4b,LuAnne's Wild Ginger,40.68958154040766,-73.96983482347092,Vegetarian / Vegan Restaurant
Fort Greene,40.68852726018977,-73.97290574369092,553169c7498e56b3c76b6624,Falafel Bros,40.68733308888789,-73.9770190591448,Vegetarian / Vegan Restaurant
Coney Island,40.57429256471601,-73.98868295821637,5d06a73559b5a4002347a1e0,Marty’s V Burger,40.574932,-73.984353,Vegetarian / Vegan Restaurant
Clinton Hill,40.693229421881504,-73.96784306216367,583b8d56a6118c60b5cfdc4b,LuAnne's Wild Ginger,40.68958154040766,-73.96983482347092,Vegetarian / Vegan Restaurant
Downtown,40.69084402109802,-73.98346337431099,4e7a2d2ae4cdb158f246cc25,Nile Valley,40.69160901666667,-73.98282971666667,Vegetarian / Vegan Restaurant
Downtown,40.69084402109802,-73.98346337431099,594869015f68b90855a8f7d0,Two Tablespoons,40.6912766318668,-73.98261451162215,Vegetarian / Vegan Restaurant
Downtown,40.69084402109802,-73.98346337431099,4edc1fac29c2b9122a84d85d,Grub,40.69164981514163,-73.98615656929857,Vegetarian / Vegan Restaurant
Downtown,40.69084402109802,-73.98346337431099,4f2c6204e4b01675776481ca,Vegetarian Salad Bar,40.69233494425038,-73.98694127801053,Vegetarian / Vegan Restaurant
Downtown,40.69084402109802,-73.98346337431099,51cb1540498ea4c8a8601d1f,Kota Cafe,40.68644311396676,-73.98345919604755,Vegetarian / Vegan Restaurant
Boerum Hill,40.685682912091444,-73.98374824115798,5a7200d997461724ba963ae5,Next Level Burger,40.68620707868772,-73.9787515924693,Burger Joint
Boerum Hill,40.685682912091444,-73.98374824115798,51cb1540498ea4c8a8601d1f,Kota Cafe,40.68644311396676,-73.98345919604755,Vegetarian / Vegan Restaurant
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,5c8407a42632ec002c1e5136,Veggies,40.65766,-73.95025,Vegetarian / Vegan Restaurant
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,4dc09f1143a1fd4cf8819b0b,The Park Bentch @ Brooklyn USA,40.659882437496584,-73.95553629169083,Vegetarian / Vegan Restaurant
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,582391d5cb369f081ca71d36,Rain eatery,40.65892694164656,-73.95062685012817,Vegetarian / Vegan Restaurant
East Williamsburg,40.70849241041548,-73.93885815269195,4a2048e8f964a520687c1fe3,Champs Diner,40.70833454520133,-73.94081610648125,Vegetarian / Vegan Restaurant
East Williamsburg,40.70849241041548,-73.93885815269195,4d30d940f714236ab68b7ca5,Azure Natural & Organic Foods,40.70764375349692,-73.94160407605526,Deli / Bodega
East Williamsburg,40.70849241041548,-73.93885815269195,51ce0320498e6d3591ec3175,Loving Hut Williamsburg,40.71254894249091,-73.94110598722361,Vegetarian / Vegan Restaurant
East Williamsburg,40.70849241041548,-73.93885815269195,5089b2d5e4b08e7b421ac86e,vegie,40.70919418334961,-73.94293975830078,Vegetarian / Vegan Restaurant
East Williamsburg,40.70849241041548,-73.93885815269195,51c36cfc498ed1f1a47f56f5,loving hearts,40.712032318115234,-73.9418716430664,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,548c7da0498ea6aa0e8e5a1d,sweetgreen,40.71580379245556,-73.95923397970364,Salad Place
North Side,40.714822906532014,-73.95880857587582,59c298454b78c53a6f45f1a4,Chickpea & Olive,40.71616,-73.95953,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,5b51d25f838e59002c6c84e9,The Butcher’s Daughter,40.714937618227516,-73.95862746065598,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,3fd66200f964a52056ee1ee3,Vinnie's Pizzeria,40.718849475608906,-73.95664316449509,Pizza Place
North Side,40.714822906532014,-73.95880857587582,5b216fa1a423620039595906,Dig Inn,40.71580972293708,-73.95890730981198,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,5171cd5be4b046ab9ae733c0,juice press,40.718766632220174,-73.9578568332799,Juice Bar
North Side,40.714822906532014,-73.95880857587582,58bf5a738cb34e395a372b58,by CHLOE.,40.7153722,-73.9595948,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,54c3bc24498e44dbbd7fe035,Little Choc Apothecary,40.71195572791476,-73.95733343601323,Creperie
North Side,40.714822906532014,-73.95880857587582,4d8d2c60c1b1721ecedb1246,The Shanti Shack,40.71689324918532,-73.96237803401777,Vegetarian / Vegan Restaurant
North Side,40.714822906532014,-73.95880857587582,5b2ee4ee356b49002ce2cf60,Avant Garden,40.710435149387436,-73.95819301591459,Vegetarian / Vegan Restaurant
South Side,40.71086147265064,-73.95800095153331,5b51d25f838e59002c6c84e9,The Butcher’s Daughter,40.714937618227516,-73.95862746065598,Vegetarian / Vegan Restaurant
South Side,40.71086147265064,-73.95800095153331,54c3bc24498e44dbbd7fe035,Little Choc Apothecary,40.71195572791476,-73.95733343601323,Creperie
South Side,40.71086147265064,-73.95800095153331,5b2ee4ee356b49002ce2cf60,Avant Garden,40.710435149387436,-73.95819301591459,Vegetarian / Vegan Restaurant
South Side,40.71086147265064,-73.95800095153331,5c33e63d86f4cc002c827cbd,Fuel Juice Bar,40.708245,-73.958776,Vegetarian / Vegan Restaurant
South Side,40.71086147265064,-73.95800095153331,4c463722cd5ca5935b2d0087,Windowfarms HQ,40.71030832591657,-73.96032336262405,Vegetarian / Vegan Restaurant
Fort Hamilton,40.61476812694226,-74.03197914537984,4e14ef40b0fb1946c78f7c40,Three's A Crowd,40.61822717988008,-74.03047987472756,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,58f55261419a9e48f4dd0706,JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Mexican Restaurant
Chinatown,40.71561842231432,-73.99427936255978,459b830af964a5208b401fe3,Buddha Bodai 佛菩提素菜,40.71379837914967,-73.99867652064822,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,589bb0fddfa6ff5e1dc8649f,Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,49bad154f964a520b5531fe3,Dirt Candy,40.717889859794,-73.99101507421003,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,5d4a1a6cf7552900084427b6,Petisco Vegano,40.71404,-73.988815,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,43276800f964a520b7271fe3,Erin McKenna's Bakery,40.718001452016765,-73.98975509385077,Bakery
Chinatown,40.71561842231432,-73.99427936255978,4785ef6ff964a520354d1fe3,Vegetarian Dim Sum House,40.71489232862965,-73.99832147855244,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,4ee8ec06e5fadaeb5e50f7c4,Little Lad's,40.71969513128967,-73.99182092976905,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,4e42b80a091a1d3ba0ca9358,Fruit Stand Outside Of Fairtown Trading Inc.,40.71794048241929,-73.99294137954712,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,4df3ef8722718759f821ba1a,Wildflower Vegan Pop-up Restaurant,40.71402088381144,-73.98983001708984,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,5d8500e8903bdb000734baf4,Jisu Vegetarian,40.71605,-73.995348,Vegetarian / Vegan Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,57747010cd100bd4dbd9161e,Poción,40.847628782562246,-73.93837984011846,Lounge
